Pojejte lahek zajtrk;Namesto klobas ali jajc pojejte melono in jogurt. Oba vsebujeta veliko kalija, minerala, ki sodeluje pri uravnavanju krvnega tlaka. Že samo 2 mg kalija na dan (ali z drugimi besedami en pečen krompir, velika banana in velik kozarec mleka) naj bi po petih tednih pripomogla k znižanju tlaka za 4 mm Hg.
Omejite pitje kave;Kofein v kavi je znana snov, ki naj bi poživljala duha in telo. Poživljajoči učinek pa je posledica tega, da se zviša krvni tlak, ker se pod vplivom kofeina in drugih podobnih snovi zožijo krvne žile. Jutranje kavice vam seveda ne nameravamo prepovedati, toplo pa vam svetujemo, da se odpoveste naslednjim trem ali štirim v teku dopoldneva. Zagotavljamo vam, da je najučinkovitejši sovražnik utrujenosti počitek oziroma spanje in nikakor ne hektolitri spite kave. Zaradi tega boste le še bolj utrujeni, pa še glava vas bo bolela, saj vam bo kri butala v stene stisnjenih žil. Da teme o škodovanju želodčni sluznici niti ne načenjamo.
Pijte več svežega pomarančnega soka;Angleški raziskovalci so v svoji raziskavi prišli do zanimivih izsledkov. Preiskovanci, ki so imeli v krvi največ vitamina C, so imeli najnižji tlak. Strokovnjaki menijo, da vitamin C širi krvne žile in tako znižuje krvni tlak. Namesto kupljenih umetnih sokov si raje sami iztisnite sok iz pomaranč ali pa pojejte čim več agrumov (pomaranč, limon, grenivk, mandarin ipd. ), saj vsebujejo veliko vitamina C. Pa tudi v zelenjavi in začimbah ga je dovolj, recimo v brokoliju in popru.
Dovolite ji, da se izkašlja;Jeza je najhujši sovražnik krvnega tlaka in lahko povzroči, da se ta z vrtoglavo hitrostjo dvigne do vrtoglavih višin. Ameriški psihologi trdijo, da je vsekakor možno, da moškim med zakonskim prepirom tlak ne zaniha niti za mm Hg, če se le potrudijo in mirno prisluhnejo glasnemu govorjenju (beri: vpitju) svoje žene. Takoj ko tudi sami povzdignete glas in poskušate žensko preglasiti (kar vam v nobenem primeru ne bo uspelo), boste pognali svoj tlak do neslutenih višin. Ker prerekanje še nikomur ni nikoli koristilo, ji pustite, da mirno pove svoje. Ko se bo izkašljala, boste tudi vi prišli do besede. Brez povišanega krvnega tlaka.
En strok česna na dan prežene hipertenzijo stran;Eden izmed enostavnejših ukrepov, da znižate visok krvni tlak, je redno uživanje česna. Približno od 600 do 900 mg česna na dan naj bi po enem do treh mesecih pustilo za sabo viden rezultat: znižanje tlaka za 10 mm Hg. Žal ima redno uživanje česna tudi nekatere nezaželene posledice, predvsem neprijeten zadah iz ust, zaradi katerega ste lahko ob zmenek. Ampak zdravje mora biti na prvem mestu.
Izogibajte se stresu v jutranjih in dopoldanskih urah;Moški najpogosteje doživijo srčni infarkt v jutranjih ali dopoldanskih urah. Vzrok? Jutranje vstajanje je svojevrsten stres, na katerega telo odgovori z nekoliko povišanim krvnim tlakom. Ta nato ostane do desete ali enajste ure za 10 do 15 mm Hg višji kot v popoldanskih ali večernih urah. Stresne sestanke s še bolj stresnimi ljudmi raje načrtujte za po kosilu, ko boste bolj umirjeni že zaradi prebavljanja hrane. Svetujemo vam tudi, da pred odhodom iz službe pospravite svojo pisalno mizo in se tudi tako izognete stresu prihodnje jutro, ko bi zagledali polno mizo papirjev, ki še vedno čakajo na vašo pozornost.
Namesto zrezka naročite lososa;Na podlagi raziskave Američani zatrjujejo, da je celo debelim ljudem v mesecu dni uspelo znižati krvni tlak za 4 mm Hg, ne da bi shujšali. In kaj so počeli? Vsak dan so pojedli 100 gramov ribjega mesa. Če pa so poleg tega še shujšali za 5 ali več kilogramov, se jim je tlak znižal za nadaljnjih 6 ali več mm Hg, skupno torej vsaj za 10 mm Hg.
Zagotovite šefu odgovor, ki ga od vas pričakuje, pravočasno;S tem boste ubili dve muhi na en mah. Na šefa boste napravili dober vtis, sebe pa boste obvarovali pred dodatnim stresom. Vselej bodite čim bolj pošteni do sebe in ne jemljite nase več odgovornosti in dela, kot čutite, da ste ga sposobni v zmernem delovnem tempu opraviti. Frustracije zaradi dela, ki vam ga nalagajo nadrejeni, so lahko grozljive, posledice, ki jih puščajo na zdravju, pa še bolj. Naučite se reči NE!
Pojejte jabolko namesto sladice;Predelana pšenična zrna v belem kruhu in sladicah so, poleg sladkorja, odgovorna za dvig inzulina, ta pa za dvig krvnega tlaka, ki nato ostane zvišan še nekaj ur. Ljudje z visokimi vrednostmi inzulina v krvi imajo praviloma tudi višji tlak. Namesto po sladki tortici raje sezite po sadju.
Po kosilu pojdite na desetminutni sprehod;Ne samo da boste lažje prebavljali, ampak boste poskrbeli tudi za tvorbo vitamina D3 v vaši koži, ki nastaja pod vplivom ultravijoličnih žarkov B (UVB). Vitamin D3 in kalcij učinkujeta vzajemno, med drugim uravnavata krvni tlak.
Privoščite si skodelico sladoleda;S tem boste dobili od 150 do 200 mg kalcija. Japonski raziskovalci so ugotovili, da imajo ljudje, ki vsak dan kot dodatek k hrani zaužijejo 1 gram kalcija, nižji krvni tlak. Učinek dodatnega kalcija se pokaže po osmih tednih rednega jemanja. Kalcij naj bi prispeval h »gibčnosti« in »voljnosti« sten krvnih žil. Namesto da jemljete kalcijeve tabletke, lahko večjo količino tega minerala dobite tudi z uživanjem mleka in mlečnih izdelkov.
Poskrbite za mirno delovno okolje;Če vam le to dopušča narava dela, poskrbite, da bo v vaši pisarni ali delovni sobi mir. Strokovnjaki zatrjujejo, da hrup pušča trajne negativne posledice na vašem zdravju. Nenehno ali občasno brnenje strojev je stresno za vaše telo in vam dviga tlak.
Delajte kaj resnično, resnično dolgočasnega;Meditirajte v udobnem položaju za jogo 20 minut vsak dan. Ali pa si uredite tropski akvarij. Opazovanje pisanih tropskih ribic je nadvse pomirjujoče. Skratka, najdite nekaj, ob čemer se lahko resnično sprostite in ne mislite na nič. Nikar si med tem ne merite tlaka, saj boste mislili, da ste že mrtvi, tako nizek bo zaradi vaše umirjenosti.
Namesto slanih arašidov grizljajte mandlje ali bučnice;Vsebujejo veliko magnezija, to je še en mineral, ki prispeva k zniževanju tlaka. Dober vir magnezija sta tudi špinača in morski list.
Prste stran od solnice;Sol je velik sovražnik krvnega tlaka oziroma pravi pajdaš hipertenzije. Je pa res, da je ena izmed najbolj zaželenih začimb, saj napravi hrano okusnejšo. Če ne kuhate sami, ne morete imeti pregleda nad tem, koliko soli so pri pripravi hrane porabile kuharice v menzah ali hotelih. Zagotovo ne malo. Vam pa se jed še zmeraj ne zdi dovolj slana ali pa že kar iz navade posegate po solnici na mizi in si hrano dodatno solite. Nikar! Zdravniki svetujejo, da omejimo porabo soli na največ 5 gramov ali eno kavno žličko na dan. S hrano, ki jo na dan zaužijete, boste toliko soli zagotovo dobili. Samo pomislite, koliko soli pojeste skupaj s slanimi arašidi, ki jih nikakor ne morete prenehati jesti, dokler ni vrečka prazna? Sol veže nase vodo, večja količina tekočine v telesu oziroma krvnih žilah pa zviša krvni tlak.
